Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANPAINT,EQ,2010-01-04,1797.2,1791,1799.9,1780,1787.6,1788.65,1790.13,8035,14383711.3,-,4852,60.39
ASIANPAINT,EQ,2010-01-05,1788.65,1798,1804.95,1785,1796,1794.3,1794.78,84910,152394376.3,-,80968,95.36
ASIANPAINT,EQ,2010-01-06,1794.3,1814.75,1814.75,1781,1781.4,1788.9,1793.06,7345,13170055.4,-,4568,62.19
ASIANPAINT,EQ,2010-01-07,1788.9,1798.75,1798.75,1769,1773.9,1770.65,1776.99,24032,42704570.35,-,20397,84.87
ASIANPAINT,EQ,2010-01-08,1770.65,1774.5,1834,1770.65,1804,1799.9,1804.96,71131,128388310.4,-,60998,85.75
ASIANPAINT,EQ,2010-01-11,1799.9,1780,1819.9,1775.05,1794.95,1796.85,1791.96,17342,31076168.6,-,9205,53.08
ASIANPAINT,EQ,2010-01-12,1796.85,1790,1879,1790,1845,1843.75,1846.62,114801,211994183.3,-,87836,76.51
ASIANPAINT,EQ,2010-01-13,1843.75,1770,1877,1711.6,1861.1,1858.25,1856.34,43205,80203293.95,-,29538,68.37
ASIANPAINT,EQ,2010-01-14,1858.25,1873,1928,1865.2,1880,1881.7,1885.57,23089,43536025.05,-,11203,48.52
ASIANPAINT,EQ,2010-01-15,1881.7,1871.25,1927,1865.2,1872.95,1871.95,1891.15,37218,70384775.35,-,24006,64.5
ASIANPAINT,EQ,2010-01-18,1871.95,1888.9,1911,1860,1862.2,1866.6,1886.9,12579,23735287.9,-,5464,43.44
ASIANPAINT,EQ,2010-01-19,1866.6,1894.75,1894.75,1825,1831.05,1844.8,1858.99,19922,37034793.85,-,11992,60.19
ASIANPAINT,EQ,2010-01-20,1844.8,1838.05,1862.55,1821,1826.95,1826.95,1834.35,12036,22078180.55,-,7157,59.46
ASIANPAINT,EQ,2010-01-21,1826.95,1826.95,1837.95,1796.1,1819.95,1812.05,1815.48,10887,19765141.65,-,6716,61.69
ASIANPAINT,EQ,2010-01-22,1812.05,1790,1810,1745,1761.1,1765.05,1773.09,33469,59343531.75,-,14830,44.31
ASIANPAINT,EQ,2010-01-25,1765.05,1775,1815,1767,1770,1776.4,1780.95,26383,46986747.55,-,19392,73.5
ASIANPAINT,EQ,2010-01-27,1776.4,1765,1819,1749.35,1780,1764.6,1780.99,37284,66402299.65,-,23229,62.3
ASIANPAINT,EQ,2010-01-28,1764.6,1780,1823.9,1771.05,1800.1,1802.8,1802.31,37329,67278422.35,-,20946,56.11
ASIANPAINT,EQ,2010-01-29,1802.8,1798,1865,1775,1860,1852.2,1825.53,27539,50273261.2,-,17935,65.13
ASIANPAINT,EQ,2010-02-01,1852.2,1869.95,1935,1830,1935,1917.55,1895.5,36722,69606709.4,-,25507,69.46
ASIANPAINT,EQ,2010-02-02,1917.55,1925,1930.55,1870,1870,1875.65,1886.97,30269,57116809.25,-,20419,67.46
ASIANPAINT,EQ,2010-02-03,1875.65,1893.9,1925,1879.9,1912,1914.6,1902.88,41924,79776408.75,-,26088,62.23
