Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,2010-01-04,329.95,332.7,344.9,332.7,343.3,343.1,341.1,45282,15445752.3,-,25798,56.97
BAJAUTOFIN,EQ,2010-01-05,343.1,350.05,350.7,336,341,340.8,343.86,30972,10649950.5,-,22768,73.51
BAJAUTOFIN,EQ,2010-01-06,340.8,341,351,335.2,347.85,345.7,341.73,18740,6403986,-,10913,58.23
BAJAUTOFIN,EQ,2010-01-07,345.7,349.9,349.9,339,342,343.6,342.33,13493,4619036.9,-,9315,69.04
BAJAUTOFIN,EQ,2010-01-08,343.6,344.1,359,342.45,348,349.85,349.96,30381,10632009.9,-,15564,51.23
BAJAUTOFIN,EQ,2010-01-11,349.85,356,360,351.5,358,358.7,355.79,38089,13551820.45,-,28872,75.8
BAJAUTOFIN,EQ,2010-01-12,358.7,367,377.4,336.25,344.4,345.2,362.69,215054,77998864.3,-,66668,31
BAJAUTOFIN,EQ,2010-01-13,345.2,347.4,351.5,324,325.4,327,333.61,46646,15561592.15,-,21779,46.69
BAJAUTOFIN,EQ,2010-01-14,327,330.1,342,330.1,337,335.75,337.94,24826,8389629.9,-,14798,59.61
BAJAUTOFIN,EQ,2010-01-15,335.75,331,341,331,337,339,337.28,11575,3903989,-,7613,65.77
BAJAUTOFIN,EQ,2010-01-18,339,342.85,353.8,335,348,349.45,346.92,31170,10813482.05,-,15683,50.31
BAJAUTOFIN,EQ,2010-01-19,349.45,348,354,336,337.05,339.1,343.1,6313,2165985.85,-,3858,61.11
BAJAUTOFIN,EQ,2010-01-20,339.1,347,347,335.05,335.25,339.25,343.12,7273,2495524.15,-,5453,74.98
BAJAUTOFIN,EQ,2010-01-21,339.25,345.9,345.9,327,327.1,329.1,331.08,13793,4566619.75,-,8317,60.3
BAJAUTOFIN,EQ,2010-01-22,329.1,325.1,338.8,306.05,326,329.4,326.15,19669,6414949,-,9695,49.29
BAJAUTOFIN,EQ,2010-01-25,329.4,316,335.5,316,327,326.75,328.06,6840,2243911.5,-,2695,39.4
BAJAUTOFIN,EQ,2010-01-27,326.75,325,326.7,315,317,317,319.26,9708,3099390.65,-,6912,71.2
BAJAUTOFIN,EQ,2010-01-28,317,316.1,325,305,318,317.8,316.86,17065,5407239.95,-,12432,72.85
BAJAUTOFIN,EQ,2010-01-29,317.8,310.5,315,304,307,308.5,311.41,29115,9066790.05,-,22553,77.46
BAJAUTOFIN,EQ,2010-02-01,308.5,310.85,312,308.25,309,309.65,309.72,8557,2650316.55,-,5901,68.96
BAJAUTOFIN,EQ,2010-02-02,309.65,348,348,300,306,301.95,308.91,22601,6981616.4,-,14522,64.25
BAJAUTOFIN,EQ,2010-02-03,301.95,313.9,313.9,298.1,298.1,304.1,306.49,10448,3202160.55,-,5699,54.55
BAJAUTOFIN,EQ,2010-02-04,304.1,302.05,304.9,298,299.95,299.15,300.93,11841,3563278.3,-,8453,71.39
BAJAUTOFIN,EQ,2010-02-05,299.15,293.5,302,292,292.25,294.1,295.37,11105,3280057.35,-,8298,74.72
BAJAUTOFIN,EQ,2010-02-06,294.1,275.55,298.9,275.55,291,291.6,292.24,2516,735272.25,-,1933,76.83
BAJAUTOFIN,EQ,2010-02-08,291.6,291.55,297,288.05,289,290.45,292.03,8251,2409535.85,-,5099,61.8
BAJAUTOFIN,EQ,2010-02-09,290.45,291.5,309,290,295.1,296.45,296.83,9392,2787831.8,-,3647,38.83
BAJAUTOFIN,EQ,2010-02-10,296.45,294,305,292.35,292.35,294.2,297.96,6219,1853006.95,-,3471,55.81
BAJAUTOFIN,EQ,2010-02-11,294.2,293.65,298.9,290,293.95,291.8,293.51,5374,1577340,-,2314,43.06
BAJAUTOFIN,EQ,2010-02-15,291.8,294.8,298.9,285.1,288.1,288.2,290.95,4584,1333697.45,-,2649,57.79
BAJAUTOFIN,EQ,2010-02-16,288.2,290.15,293,285.3,293,290.95,290.86,6347,1846057.1,-,3484,54.89
BAJAUTOFIN,EQ,2010-02-17,290.95,300,336.5,296.05,307,309.65,320.72,223170,71576191.15,-,44411,19.9
BAJAUTOFIN,EQ,2010-02-18,309.65,310,313,298.1,302.5,301.3,304.58,28636,8722085.7,-,14035,49.01
BAJAUTOFIN,EQ,2010-02-19,301.3,299.1,306,295.1,297.85,297.7,299.53,28851,8641737.9,-,18241,63.22
BAJAUTOFIN,EQ,2010-02-22,297.7,310,310,294.5,296.45,295.55,299.27,12037,3602275.45,-,6902,57.34
BAJAUTOFIN,EQ,2010-02-23,295.55,293.1,299,293.1,299,297.65,296.34,6467,1916412.25,-,4237,65.52
BAJAUTOFIN,EQ,2010-02-24,297.65,296.6,297,290.1,290.1,291.9,293.54,5085,1492634.75,-,3147,61.89
BAJAUTOFIN,EQ,2010-02-25,291.9,293,299,283.1,283.8,285.15,287.92,24013,6913850.65,-,17587,73.24
BAJAUTOFIN,EQ,2010-02-26,285.15,282.75,315,282.75,298.8,300.35,301.54,129056,38915560,-,33357,25.85
BAJAUTOFIN,EQ,2010-03-02,300.35,302,323.85,302,317.2,314.65,317.57,63235,20081839.85,-,25366,40.11
BAJAUTOFIN,EQ,2010-03-03,314.65,325,326,315,320,321.25,321.78,32618,10495772.3,-,16987,52.08
BAJAUTOFIN,EQ,2010-03-04,321.25,321.1,324.35,318,320.5,320,320.51,14559,4666374.55,-,8585,58.97
BAJAUTOFIN,EQ,2010-03-05,320,324.8,325,315.15,325,322.3,321.63,11133,3580689.85,-,7852,70.53
BAJAUTOFIN,EQ,2010-03-08,322.3,327,330,320.05,321.5,320.8,322.74,9439,3046340.5,-,7226,76.55
BAJAUTOFIN,EQ,2010-03-09,320.8,323.8,325,315.5,322,322.5,318.84,16732,5334899.55,-,13161,78.66
BAJAUTOFIN,EQ,2010-03-10,322.5,323,325.9,318.1,321,321.2,321.93,6754,2174315.25,-,4147,61.4
BAJAUTOFIN,EQ,2010-03-11,321.2,320.6,323.6,310,310.05,312.65,319.11,13786,4399224.95,-,10041,72.83
BAJAUTOFIN,EQ,2010-03-12,312.65,314.9,322.5,312,317.05,319.8,319.04,12434,3966924.8,-,7789,62.64
BAJAUTOFIN,EQ,2010-03-15,319.8,315.25,321.25,310,310,312.85,315.69,4499,1420297.35,-,2282,50.72
BAJAUTOFIN,EQ,2010-03-16,312.85,312.7,317.75,308.55,314.6,311.8,312.85,3316,1037417.8,-,2066,62.3
BAJAUTOFIN,EQ,2010-03-17,311.8,319,319,310.3,312.1,313.35,313.87,2753,864087,-,1526,55.43
BAJAUTOFIN,EQ,2010-03-18,313.35,325,325,311.05,312,312.5,313.94,3495,1097224.95,-,2313,66.18
BAJAUTOFIN,EQ,2010-03-19,312.5,312,317.5,311,311,311.15,312.83,4178,1307007.85,-,2588,61.94
BAJAUTOFIN,EQ,2010-03-22,311.15,306,314,306,311.95,310.65,312.36,11798,3685242.75,-,11004,93.27
BAJAUTOFIN,EQ,2010-03-23,310.65,316,316,305.1,306,306.75,309.61,9819,3040092.55,-,5490,55.91
BAJAUTOFIN,EQ,2010-03-25,306.75,305,305,303,305,304.65,304.35,9070,2760456.4,-,6823,75.23
