Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DMART,EQ,2017-03-21,299,600,648.9,558.3,647.8,641.6,607.18,85728445,52052585778,997334,25455640,29.69
DMART,EQ,2017-03-22,641.6,641.55,657.45,625.1,636.95,638.55,644.03,15817671,10187130156,230754,1980297,12.52
DMART,EQ,2017-03-23,638.55,637.9,648,628.15,635,634.85,639.24,4690121,2998101858,82509,918026,19.57
DMART,EQ,2017-03-24,634.85,635.45,640.45,612.6,615.25,616.9,621.12,4865013,3021774074,91530,1091968,22.45
DMART,EQ,2017-03-27,616.9,615,623,602.35,617.05,614.4,613.09,3535098,2167347457,63894,809694,22.9
DMART,EQ,2017-03-28,614.4,617.2,633.4,615.1,626,628.8,626.77,2981122,1868463027,57419,595667,19.98
DMART,EQ,2017-03-29,628.8,632.9,637,622.4,624,628.25,631.74,2407007,1520603299,46378,853427,35.46
DMART,EQ,2017-03-30,628.25,624.2,635,622.2,634.95,631.85,629.89,1324054,834009944.9,22366,407697,30.79
DMART,EQ,2017-03-31,631.85,634.4,652.3,630,637.3,637.85,639.97,2075789,1328449570,36350,525707,25.33
DMART,EQ,2017-04-03,637.85,638,643,633,635,634.25,636.91,992545,632157342,23829,431552,43.48
DMART,EQ,2017-04-05,634.25,636,645.1,628.3,633,632.15,635.45,820437,521346547.8,18085,288605,35.18
DMART,EQ,2017-04-06,632.15,632,668.4,630.2,663.9,664.4,654.46,5166823,3381465186,75897,1084664,20.99
DMART,EQ,2017-04-07,664.4,665.9,761.35,664,758.9,751.2,722.72,16504569,11928230147,249684,1925387,11.67
DMART,EQ,2017-04-10,751.2,769,806.9,759.05,777.7,774.1,789.07,14333464,11310151508,226380,1663038,11.6
DMART,EQ,2017-04-11,774.1,778.9,791.1,768.35,778,778.55,780.12,4283589,3341726531,77233,536186,12.52
DMART,EQ,2017-04-12,778.55,779,782.9,755,758,762.2,766.28,2435513,1866278483,45432,364931,14.98
DMART,EQ,2017-04-13,762.2,756.9,806.9,756,780.5,783.25,788.52,6262741,4938294681,114670,769821,12.29
DMART,EQ,2017-04-17,783.25,785.9,789.7,766.6,773.75,774.05,774.37,2786771,2157980681,64792,1534411,55.06
DMART,EQ,2017-04-18,774.05,774.9,774.9,725.1,732,730.15,740.24,4750180,3516262614,128369,2535888,53.39
DMART,EQ,2017-04-19,730.15,735,752,722,736,732.8,736.68,2052184,1511800953,46838,529283,25.79
DMART,EQ,2017-04-20,732.8,740,765,732.4,753.45,756.3,751.83,3218061,2419434894,63725,826302,25.68
DMART,EQ,2017-04-21,756.3,760,765,739,742.5,743.2,751.08,1237439,929414400,27577,386299,31.22
DMART,EQ,2017-04-24,743.2,748,748,724.15,725.2,726.3,733.21,1249610,916223708.8,24345,575519,46.06
DMART,EQ,2017-04-25,726.3,731,739.9,721.15,735,734.8,732.76,1519949,1113762731,29142,580108,38.17
DMART,EQ,2017-04-26,734.8,736.45,753.95,731,746,747.9,747.28,2080565,1554758172,49463,669426,32.18
DMART,EQ,2017-04-27,747.9,749,749.7,736.1,739.25,740.1,740.92,614735,455467576.7,12951,313189,50.95
DMART,EQ,2017-04-28,740.1,743.85,747,735,736.15,736.5,739.17,516172,381539353,10952,229610,44.48
DMART,EQ,2017-05-02,736.5,737.25,762.9,737.25,749.65,752.3,750.44,1808851,1357433667,40605,781262,43.19
DMART,EQ,2017-05-03,752.3,753,762,746.8,758.5,756.85,754.74,1083002,817386526,24359,517897,47.82
DMART,EQ,2017-05-04,756.85,762.2,793,762.2,772,773.25,780.32,2607954,2035030961,43004,538434,20.65
DMART,EQ,2017-05-05,773.25,778,814.4,766.1,806.55,808.9,796.1,4332891,3449418087,72556,1067044,24.63
DMART,EQ,2017-05-08,808.9,823.65,824.5,770.2,780.05,780.15,788.35,3972924,3132069040,72004,962974,24.24
DMART,EQ,2017-05-09,780.15,782.9,793,775.6,780,780.05,783.09,1199297,939161209.3,32723,345615,28.82
DMART,EQ,2017-05-10,780.05,781.9,795,780,789,790.85,788.12,1251054,985979581,22605,325958,26.05
