Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,2000-01-03,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,6675364,-,-,-
HDFC,EQ,2000-01-04,293.5,317,317,297,304,304.05,303.62,255251,77499723.75,-,-,-
HDFC,EQ,2000-01-05,304.05,290,303.9,285,295,292.8,294.53,269087,79253677.05,-,-,-
HDFC,EQ,2000-01-06,292.8,301,314,295,296,296.45,300.14,305916,91816691.05,-,-,-
HDFC,EQ,2000-01-07,296.45,290,296.35,281,287.1,286.55,288.8,197039,56904805,-,-,-
HDFC,EQ,2000-01-10,286.55,292,296,285,288.4,287.2,289.42,133363,38597787.95,-,-,-
HDFC,EQ,2000-01-11,287.2,290,292,273.25,282.85,283.85,284.54,337411,96006166.35,-,-,-
HDFC,EQ,2000-01-12,283.85,287,293,284.5,285.25,285.6,287.6,222537,64002169,-,-,-
HDFC,EQ,2000-01-13,285.6,288,290.5,283,284,283.85,285.84,113238,32367413.95,-,-,-
HDFC,EQ,2000-01-14,283.85,284,294,276.25,291,286.55,283.6,152322,43199047.4,-,-,-
HDFC,EQ,2000-01-17,286.55,302,309.5,295,303.5,302.2,302.87,500852,151692522.6,-,-,-
HDFC,EQ,2000-01-18,302.2,307,317.85,301.05,305.25,305.75,308.57,369304,113957884.4,-,-,-
HDFC,EQ,2000-01-19,305.75,310,315,303.05,304.5,305.25,308.98,377937,116776471.3,-,-,-
HDFC,EQ,2000-01-20,305.25,303,306,288,291.9,291.35,297.57,208122,61931732.5,-,-,-
HDFC,EQ,2000-01-21,291.35,292,307,290,299.5,299.55,300.93,591458,177989526.3,-,-,-
HDFC,EQ,2000-01-24,299.55,306,306,291,294,293.05,295.58,207336,61284118.75,-,-,-
HDFC,EQ,2000-01-25,293.05,285,308.95,281,305.5,303.15,299.56,512403,153493665.6,-,-,-
HDFC,EQ,2000-01-27,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,265087141.9,-,-,-
HDFC,EQ,2000-01-28,316.6,328.5,328.9,315,326,324.4,323.32,1224604,395941519.5,-,-,-
HDFC,EQ,2000-01-31,324.4,328.7,349.95,320.05,332.5,333.5,336.09,1449638,487205239.2,-,-,-
HDFC,EQ,2000-02-01,333.5,337,353.9,335,351.25,350.55,345.34,1220141,421362996.4,-,-,-
HDFC,EQ,2000-02-02,350.55,355,357,342,349,351.4,349.83,1124774,393477626.9,-,-,-
HDFC,EQ,2000-02-03,351.4,345.55,351.5,338.15,342,341.9,344.17,338774,116595090.5,-,-,-
HDFC,EQ,2000-02-04,341.9,342,362.4,341,350,357.2,352.79,1393426,491580037,-,-,-
HDFC,EQ,2000-02-07,357.2,351,362.5,348.15,355,355.45,357.09,834598,298030466.5,-,-,-
HDFC,EQ,2000-02-08,355.45,359,359,345.6,351,350.5,351.72,527223,185433348,-,-,-
HDFC,EQ,2000-02-09,350.5,354,354,322.5,325,329.15,331.01,918950,304180808.8,-,-,-
HDFC,EQ,2000-02-10,329.15,329,329,311.6,321,320.35,320.55,406175,130200818.6,-,-,-
HDFC,EQ,2000-02-11,320.35,327,346,313,346,343.65,338.31,1361815,460719388.6,-,-,-
HDFC,EQ,2000-02-14,343.65,354,369,345,354,359.15,359.35,1457178,523636084.7,-,-,-
HDFC,EQ,2000-02-15,359.15,352.35,353.5,330.45,332,332.6,339.35,629569,213646230.7,-,-,-
HDFC,EQ,2000-02-16,332.6,350,354.8,338.1,342.2,341.6,343.8,252848,86929235.05,-,-,-
HDFC,EQ,2000-02-17,341.6,336,347,336,339,339.2,341.46,120854,41266761.9,-,-,-
HDFC,EQ,2000-02-18,339.2,339,340,325,326.5,327.9,330.18,161499,53322943.1,-,-,-
HDFC,EQ,2000-02-21,327.9,329,334,317.05,318,319.15,326.9,206189,67402488.95,-,-,-
HDFC,EQ,2000-02-22,319.15,317,319.4,301.2,305,305.95,311.71,285365,88950139.45,-,-,-
HDFC,EQ,2000-02-23,305.95,317,330.45,315,330.45,330.45,329.96,177171,58458984.3,-,-,-
HDFC,EQ,2000-02-24,330.45,349.85,356,332,354,351.7,347.16,385844,133947911.4,-,-,-
HDFC,EQ,2000-02-25,351.7,354,379.85,351.1,379.85,379.85,373.96,230532,86209730.75,-,-,-
HDFC,EQ,2000-02-28,379.85,405.5,410.25,380.5,410.25,409.7,400.35,643659,257688281.3,-,-,-
HDFC,EQ,2000-02-29,409.7,420,442.5,376.95,395,401.7,419.9,1014948,426175392,-,-,-
HDFC,EQ,2000-03-01,401.7,405,433.85,400,433.85,433.85,421.87,494473,208603125.8,-,-,-
HDFC,EQ,2000-03-02,433.85,456.9,468.6,442,468.6,468.6,465.74,542377,252607035.1,-,-,-
HDFC,EQ,2000-03-03,468.6,489,489,431.15,471,473.05,456.43,878831,401123362.7,-,-,-
HDFC,EQ,2000-03-06,473.05,479,479,435.25,438.5,443.5,452.36,670934,303504372,-,-,-
HDFC,EQ,2000-03-07,443.5,447,447,408.05,413.1,412.2,419.21,377112,158088690.5,-,-,-
HDFC,EQ,2000-03-08,412.2,415,425,391.05,415,416.7,414.88,370922,153889418.7,-,-,-
HDFC,EQ,2000-03-09,416.7,419,419,388.1,397,399.6,400.73,167704,67204039.3,-,-,-
HDFC,EQ,2000-03-10,399.6,400,408.9,390.3,395,397.55,399.83,181580,72601688.85,-,-,-
HDFC,EQ,2000-03-13,397.55,386.1,406,367,382.55,381.6,390.9,225462,88132865.6,-,-,-
